1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
cbsa,shortname,cbsa_name,overlap_pop,spl_pop,overlap_index,bh_wa_diss,bh_w_diss,black_diss_index,black_xpx,hisp_pop2000,hisp_diss_index,hisp_xpx,loans_count,loans_amt,subprime_count,subprime_amt,,lnfcrate,pop2000,black_pop2000,popest2008,pcollege,lnpop2008,pblack2000,lnmedhhinc,phisp2000,region,mw,south,west,ratio_boom_hist,psubprime0406,ratio_hs_hu2000
10420,Akron,"Akron, OH",60475,142464,0.424493205,0.628004,0.6308512,0.647,0.475,5874,0.257,0.018,27520,3106397,8281,758726,,1.811654,694960,80816,698553,0.2774799,13.45677,0.1162887,10.76503,0.0084523,Midwest,1,0,0,1.448473,0.2641836,0.0724168
10580,Albany,"Albany-Schenectady-Troy, NY",30531,149670,0.203988775,0.5439337,0.5471383,0.605,0.353,20365,0.379,0.079,31699,4167710,8657,964274,,-0.074441,825875,58423,853919,0.3161598,13.65759,0.0707407,10.91062,0.0246587,Northeast,0,0,0,4.451152,0.2271849,0.0548225
10740,Albuquerque,"Albuquerque, NM",120428,165557,0.727411103,0.3867294,0.3869269,0.309,0.112,302656,0.398,0.575,51527,7382512,13483,1657104,,0.6996301,729649,22334,845913,0.291593,13.64817,0.0306092,10.72841,0.4147967,West,0,0,1,2.733598,0.2310848,0.1525689
10900,Allentown,"Allentown-Bethlehem-Easton, PA-NJ",33309,100390,0.331795996,0.5724563,0.5753329,0.519,0.136,54358,0.6,0.313,45147,6025979,10261,1323240,,-0.2578407,740395,24661,808210,0.2507805,13.60258,0.0333079,10.90449,0.0734176,Northeast,0,0,0,4.711483,0.1897756,0.1042809
12060,Atlanta,"Atlanta-Sandy Springs-Marietta, GA",806494,870174,0.926819234,0.5912409,0.6010622,0.638,0.66,270407,0.516,0.295,312405,47974742,96489,11737464,,1.992927,4247981,1244328,5376285,0.3346319,15.49751,0.2929222,10.95618,0.0636554,South,0,1,0,2.045853,0.2824952,0.2900631
12420,Austin,"Austin-Round Rock, TX",59333,85645,0.692778329,0.4585437,0.4606181,0.508,0.358,327760,0.456,0.478,73574,10778393,14705,1686049,,1.003835,1249763,105909,1652602,0.3821907,14.31786,0.0847433,10.91194,0.2622577,South,0,1,0,1.659715,0.1827342,0.2699859
12540,Bakersfield,"Bakersfield, CA",31979,80814,0.395711139,0.5041375,0.5221905,0.497,0.321,254036,0.538,0.642,52088,9799143,20994,3530787,,2.291811,661645,43735,800458,0.1438721,13.59294,0.0661004,10.70594,0.3839461,West,0,0,1,12.08147,0.3473825,0.1662236
12580,Baltimore,"Baltimore-Towson, MD",329487,682517,0.482752811,0.6497003,0.6546324,0.675,0.68,51329,0.358,0.075,166324,32751488,52214,8553782,,0.6485071,2552994,718236,2667117,0.3301999,14.79651,0.2813309,11.04331,0.0201054,South,0,1,0,6.187268,0.2535842,0.0702636
12940,Baton Rouge,"Baton Rouge, LA",106539,129123,0.825097001,0.5792686,0.5820695,0.6,0.637,11582,0.303,0.046,31007,3866759,10154,991694,,0.2437927,705973,242983,774327,0.2435176,13.55975,0.3441817,10.69881,0.0164057,South,0,1,0,2.553029,0.2969122,0.1257811
13644,Bethesda,"Bethesda-Frederick-Gaithersburg, MD Metropolitan Division",58084,301216,0.192831722,0.4236816,0.4546479,0.465,0.352,105268,0.465,0.297,68447,18902978,17024,3983102,,0.7410092,1068618,156112,1176401,0.5219847,13.97797,0.1460878,11.36815,0.0985085,South,0,1,0,6.806277,0.1869576,0.1050318
13820,Birmingham,"Birmingham-Hoover, AL",186435,236086,0.789691045,0.6589034,0.6609416,0.688,0.687,18567,0.445,0.091,47653,6255825,14935,1389590,,0.1915367,1052238,292829,1117608,0.2559802,13.9267,0.2782916,10.75079,0.0176452,South,0,1,0,2.292428,0.2885233,0.0722969
14484,Boston,"Boston-Quincy, MA Metropolitan Division",189724,383165,0.495149609,0.6639245,0.6776578,0.713,0.598,130558,0.648,0.415,83587,20588728,19157,4628942,,0.9851059,1812937,220159,1884659,0.3904734,14.44926,0.1214378,11.06068,0.0720146,Northeast,0,0,0,3.88123,0.170355,0.048486
